Surah;Ayat;Terjemahan
40;40;Barangsiapa mengerjakan perbuatan jahat, maka dia tidak akan dibalasi melainkan sebanding dengan kejahatan itu. Dan barangsiapa mengerjakan amal yang saleh baik laki-laki maupun perempuan sedang ia dalam keadaan beriman, maka mereka akan masuk surga, mereka diberi rezeki di dalamnya tanpa hisab.
41;31;"Kamilah pelindung-pelindungmu dalam kehidupan dunia dan akhirat; di dalamnya kamu memperoleh apa yang kamu inginkan dan memperoleh (pula) di dalamnya apa yang kamu minta."
42;22;Kamu lihat orang-orang yang zalim sangat ketakutan karena kejahatan-kejahatan yang telah mereka kerjakan, sedang siksaan menimpa mereka. Dan orang-orang yang beriman serta mengerjakan amal saleh (berada) di dalam taman-taman surga, mereka memperoleh apa yang mereka kehendaki di sisi Tuhan mereka. Yang demikian itu adalah karunia yang besar.
43;73;Di dalam surga itu ada buah-buahan yang banyak untukmu yang sebahagiannya kamu makan.
44;52;"(yaitu) di dalam taman-taman dan mata-air-mata-air;"
44;53;mereka memakai sutera yang halus dan sutera yang tebal, (duduk) berhadap-hadapan,
44;54;demikianlah. Dan Kami berikan kepada mereka bidadari.
44;55;Di dalamnya mereka meminta segala macam buah-buahan dengan aman (dari segala kekhawatiran),
47;12;Sesungguhnya Allah memasukkan orang-orang mukmin dan beramal saleh ke dalam jannah yang mengalir di bawahnya sungai-sungai. Dan orang-orang kafir bersenang-senang (di dunia) dan mereka makan seperti makannya binatang. Dan jahannam adalah tempat tinggal mereka.
47;15;"(Apakah) perumpamaan (penghuni) jannah yang dijanjikan kepada orang-orang yang bertakwa yang di dalamnya ada sungai-sungai dari air yang tiada berubah rasa dan baunya, sungai-sungai dari air susu yang tidak berubah rasanya, sungai-sungai dari khamar yang lezat rasanya bagi peminumnya dan sungai-sungai dari madu yang disaring; dan mereka memperoleh di dalamnya segala macam buah-buahan dan ampunan dari Rabb mereka, sama dengan orang yang kekal dalam jahannam dan diberi minuman dengan air yang mendidih sehingga memotong ususnya?"
48;17;"Tiada dosa atas orang-orang yang buta dan atas orang yang pincang dan atas orang yang sakit (apabila tidak ikut berperang). Dan barangsiapa yang taat kepada Allah dan Rasul-Nya; niscaya Allah akan memasukkannya ke dalam surga yang mengalir di bawahnya sungai-sungai dan barang siapa yang berpaling niscaya akan diazab-Nya dengan azab yang pedih."
50;35;"Mereka di dalamnya memperoleh apa yang mereka kehendaki; dan pada sisi Kami ada tambahannya."
51;15;Sesungguhnya orang-orang yang bertakwa itu berada dalam taman-taman (surga) dan mata air-mata air,
52;17;Sesungguhnya orang-orang yang bertakwa berada dalam surga dan kenikmatan,
52;18;"mereka bersuka ria dengan apa yang diberikan kepada mereka oleh Tuhan mereka; dan Tuhan mereka memelihara mereka dari azab neraka."
52;20;mereka bertelekan di atas dipan-dipan berderetan dan Kami kawinkan mereka dengan bidadari-bidadari yang cantik bermata jeli.
52;22;Dan Kami beri mereka tambahan dengan buah-buahan dan daging dari segala jenis yang mereka ingini.
52;23;Di dalam surga mereka saling memperebutkan piala (gelas) yang isinya tidak (menimbulkan) kata-kata yang tidak berfaedah dan tiada pula perbuatan dosa.
52;24;Dan berkeliling di sekitar mereka anak-anak muda untuk (melayani) mereka, seakan-akan mereka itu mutiara yang tersimpan.
54;55;di tempat yang disenangi di sisi Tuhan Yang Berkuasa.
55;48;kedua surga itu mempunyai pohon-pohonan dan buah-buahan.
55;50;Di dalam kedua surga itu ada dua buah mata air yang mengalir
55;52;Di dalam kedua surga itu terdapat segala macam buah-buahan yang berpasangan.
55;54;Mereka bertelekan di atas permadani yang sebelah dalamnya dari sutera. Dan buah-buahan di kedua surga itu dapat (dipetik) dari dekat.
55;56;Di dalam surga itu ada bidadari-bidadari yang sopan menundukkan pandangannya, tidak pernah disentuh oleh manusia sebelum mereka (penghuni-penghuni surga yang menjadi suami mereka), dan tidak pula oleh jin.
55;58;Seakan-akan bidadari itu permata yakut dan marjan.
55;64;Kedua surga itu (kelihatan) hijau tua warnanya.
55;66;Di dalam kedua surga itu ada dua buah mata air yang memancar.
55;68;Di dalam keduanya (ada macam-macam) buah-buahan dan kurma serta delima.
55;70;Di dalam surga itu ada bidadari-bidadari yang baik-baik lagi cantik-cantik.
55;72;(Bidadari-bidadari) yang jelita, putih bersih, dipingit dalam rumah.
55;74;Mereka tidak pernah disentuh oleh manusia sebelum mereka (penghuni-penghuni surga yang menjadi suami mereka), dan tidak pula oleh jin.
55;76;Mereka bertelekan pada bantal-bantal yang hijau dan permadani-permadani yang indah.
56;15;Mereka berada di atas dipan yang bertahta emas dan permata,
56;16;seraya bertelekan di atasnya berhadap-hadapan.
56;17;Mereka dikelilingi oleh anak-anak muda yang tetap muda,
56;18;dengan membawa gelas, cerek dan minuman yang diambil dari air yang mengalir,
56;19;mereka tidak pening karenanya dan tidak pula mabuk,
56;20;dan buah-buahan dari apa yang mereka pilih,
56;21;dan daging burung dari apa yang mereka inginkan.
56;22;Dan ada bidadari-bidadari bermata jeli,
56;23;laksana mutiara yang tersimpan baik.
56;25;Mereka tidak mendengar di dalamnya perkataan yang sia-sia dan tidak pula perkataan yang menimbulkan dosa,
56;26;akan tetapi mereka mendengar ucapan salam.
56;28;Berada di antara pohon bidara yang tak berduri,
56;29;dan pohon pisang yang bersusun-susun (buahnya),
56;30;dan naungan yang terbentang luas,
56;31;dan air yang tercurah,
56;32;dan buah-buahan yang banyak,
56;33;yang tidak berhenti (berbuah) dan tidak terlarang mengambilnya.
56;34;dan kasur-kasur yang tebal lagi empuk.
56;35;Sesungguhnya Kami menciptakan mereka (bidadari-bidadari) dengan langsung
56;36;dan Kami jadikan mereka gadis-gadis perawan.
56;37;penuh cinta lagi sebaya umurnya.
57;21;Berlomba-lombalah kamu kepada (mendapatkan) ampunan dari Tuhanmu dan surga yang luasnya seluas langit dan bumi, yang disediakan bagi orang-orang yang beriman kepada Allah dan Rasul-rasul-Nya. Itulah karunia Allah, diberikan-Nya kepada siapa yang dikehendaki-Nya. Dan Allah mempunyai karunia yang besar.
66;8;"Hai orang-orang yang beriman, bertaubatlah kepada Allah dengan taubatan nasuhaa (taubat yang semurni-murninya). Mudah-mudahan Rabbmu akan menutupi kesalahan-kesalahanmu dan memasukkanmu ke dalam jannah yang mengalir di bawahnya sungai-sungai, pada hari ketika Allah tidak menghinakan Nabi dan orang-orang mukmin yang bersama dia; sedang cahaya mereka memancar di hadapan dan di sebelah kanan mereka, sambil mereka mengatakan: ""Ya Rabb kami, sempurnakanlah bagi kami cahaya kami dan ampunilah kami; Sesungguhnya Engkau Maha Kuasa atas segala sesuatu""."
69;23;buah-buahannya dekat,
70;35;Mereka itu (kekal) di surga lagi dimuliakan.
76;5;Sesungguhnya orang-orang yang berbuat kebajikan minum dari gelas (berisi minuman) yang campurannya adalah air kafur,
76;6;(yaitu) mata air (dalam surga) yang daripadanya hamba-hamba Allah minum, yang mereka dapat mengalirkannya dengan sebaik-baiknya.
76;11;Maka Tuhan memelihara mereka dari kesusahan hari itu, dan memberikan kepada mereka kejernihan (wajah) dan kegembiraan hati.
76;12;Dan Dia memberi balasan kepada mereka karena kesabaran mereka (dengan) surga dan (pakaian) sutera,
76;13;di dalamnya mereka duduk bertelakan di atas dipan, mereka tidak merasakan di dalamnya (teriknya) matahari dan tidak pula dingin yang bersangatan.
76;14;Dan naungan (pohon-pohon surga itu) dekat di atas mereka dan buahnya dimudahkan memetiknya semudah-mudahnya.
76;15;Dan diedarkan kepada mereka bejana-bejana dari perak dan piala-piala yang bening laksana kaca,
76;16;(yaitu) kaca-kaca (yang terbuat) dari perak yang telah diukur mereka dengan sebaik-baiknya.
76;17;Di dalam surga itu mereka diberi minum segelas (minuman) yang campurannya adalah jahe.
76;18;(Yang didatangkan dari) sebuah mata air surga yang dinamakan salsabil.
76;19;Dan mereka dikelilingi oleh pelayan-pelayan muda yang tetap muda. Apabila kamu melihat mereka, kamu akan mengira mereka, mutiara yang bertaburan.
76;20;Dan apabila kamu melihat di sana (surga), niscaya kamu akan melihat berbagai macam kenikmatan dan kerajaan yang besar.
76;21;Mereka memakai pakaian sutera halus yang hijau dan sutera tebal dan dipakaikan kepada mereka gelang terbuat dari perak, dan Tuhan memberikan kepada mereka minuman yang bersih.
77;41;Sesungguhnya orang-orang yang bertakwa berada dalam naungan (yang teduh) dan (di sekitar) mata-mata air.
77;42;Dan (mendapat) buah-buahan dari (macam-macam) yang mereka ingini.
78;32;(yaitu) kebun-kebun dan buah anggur,
78;33;dan gadis-gadis remaja yang sebaya,
78;34;dan gelas-gelas yang penuh (berisi minuman).
78;35;Di dalamnya mereka tidak mendengar perkataan yang sia-sia dan tidak (pula) perkataan dusta.
81;13;dan apabila surga didekatkan,
83;22;Sesungguhnya orang yang berbakti itu benar-benar berada dalam kenikmatan yang besar (surga),
83;23;mereka (duduk) di atas dipan-dipan sambil memandang.
83;25;Mereka diberi minum dari khamar murni yang dilak (tempatnya),
83;26;"laknya adalah kesturi; dan untuk yang demikian itu hendaknya orang berlomba-lomba."
83;27;Dan campuran khamar murni itu adalah dari tasnim,
83;28;(yaitu) mata air yang minum daripadanya orang-orang yang didekatkan kepada Allah.
83;35;mereka (duduk) di atas dipan-dipan sambil memandang.
85;11;"Sesungguhnya orang-orang yang beriman dan mengerjakan amal-amal yang saleh bagi mereka surga yang mengalir di bawahnya sungai-sungai; itulah keberuntungan yang besar."
88;11;tidak kamu dengar di dalamnya perkataan yang tidak berguna.
88;12;Di dalamnya ada mata air yang mengalir.
88;13;Di dalamnya ada takhta-takhta yang ditinggikan,
88;14;dan gelas-gelas yang terletak (di dekatnya),
88;15;dan bantal-bantal sandaran yang tersusun,
88;16;dan permadani-permadani yang terhampar.
108;1;Sesungguhnya Kami telah memberikan kepadamu nikmat yang banyak.
4;31;Jika kamu menjauhi dosa-dosa besar di antara dosa-dosa yang dilarang kamu mengerjakannya, niscaya Kami hapus kesalahan-kesalahanmu (dosa-dosamu yang kecil) dan Kami masukkan kamu ke tempat yang mulia (surga).
4;124;Barangsiapa yang mengerjakan amal-amal saleh, baik laki-laki maupun wanita sedang ia orang yang beriman, maka mereka itu masuk ke dalam surga dan mereka tidak dianiaya walau sedikitpun.
4;175;Adapun orang-orang yang beriman kepada Allah dan berpegang teguh kepada (agama)-Nya niscaya Allah akan memasukkan mereka ke dalam rahmat yang besar dari-Nya (surga) dan limpahan karunia-Nya. Dan menunjuki mereka kepada jalan yang lurus (untuk sampai) kepada-Nya.
7;49;"(Orang-orang di atas A´raaf bertanya kepada penghuni neraka): ""Itukah orang-orang yang kamu telah bersumpah bahwa mereka tidak akan mendapat rahmat Allah?"". (Kepada orang mukmin itu dikatakan): ""Masuklah ke dalam surga, tidak ada kekhawatiran terhadapmu dan tidak (pula) kamu bersedih hati""."
15;46;"(Dikatakan kepada mereka): ""Masuklah ke dalamnya dengan sejahtera lagi aman"""
16;32;"(yaitu) orang-orang yang diwafatkan dalam keadaan baik oleh para malaikat dengan mengatakan (kepada mereka): ""Salaamun´alaikum, masuklah kamu ke dalam surga itu disebabkan apa yang telah kamu kerjakan""."
44;57;sebagai karunia dari Tuhanmu. Yang demikian itu adalah keberuntungan yang besar.
52;21;Dan orang-oranng yang beriman, dan yang anak cucu mereka mengikuti mereka dalam keimanan, Kami hubungkan anak cucu mereka dengan mereka, dan Kami tiada mengurangi sedikitpun dari pahala amal mereka. Tiap-tiap manusia terikat dengan apa yang dikerjakannya.
7;50;"Dan penghuni neraka menyeru penghuni surga: ""Limpahkanlah kepada kami sedikit air atau makanan yang telah direzekikan Allah kepadamu"". Mereka (penghuni surga) menjawab: ""Sesungguhnya Allah telah mengharamkan keduanya itu atas orang-orang kafir,"
13;24;"(sambil mengucapkan): ""Salamun ´alaikum bima shabartum"". Maka alangkah baiknya tempat kesudahan itu."
22;24;Dan mereka diberi petunjuk kepada ucapan-ucapan yang baik dan ditunjuki (pula) kepada jalan (Allah) yang terpuji.
36;55;Sesungguhnya penghuni surga pada hari itu bersenang-senang dalam kesibukan (mereka).
36;56;Mereka dan isteri-isteri mereka berada dalam tempat yang teduh, bertelekan di atas dipan-dipan.
56;8;Yaitu golongan kanan. Alangkah mulianya golongan kanan itu.
56;10;Dan orang-orang yang beriman paling dahulu,
56;11;Mereka itulah yang didekatkan kepada Allah.
56;27;Dan golongan kanan, alangkah bahagianya golongan kanan itu.
56;38;(Kami ciptakan mereka) untuk golongan kanan,
56;90;Dan adapun jika dia termasuk golongan kanan,
59;20;"Tidaklah sama penghuni-penghuni neraka dengan penghuni-penghuni jannah; penghuni-penghuni jannah itulah orang-orang yang beruntung."
74;39;kecuali golongan kanan,
75;22;Wajah-wajah (orang-orang mukmin) pada hari itu berseri-seri.
80;38;Banyak muka pada hari itu berseri-seri,
80;39;tertawa dan bergembira ria,
82;13;Sesungguhnya orang-orang yang banyak berbakti benar-benar berada dalam surga yang penuh kenikmatan,
83;24;Kamu dapat mengetahui dari wajah mereka kesenangan mereka yang penuh kenikmatan.
84;7;Adapun orang yang diberikan kitabnya dari sebelah kanannya,
84;8;maka dia akan diperiksa dengan pemeriksaan yang mudah,
84;9;dan dia akan kembali kepada kaumnya (yang sama-sama beriman) dengan gembira.
4;69;Dan barangsiapa yang mentaati Allah dan Rasul(Nya), mereka itu akan bersama-sama dengan orang-orang yang dianugerahi nikmat oleh Allah, yaitu: Nabi-nabi, para shiddiiqiin, orang-orang yang mati syahid, dan orang-orang saleh. Dan mereka itulah teman yang sebaik-baiknya.
4;96;(yaitu) beberapa derajat dari pada-Nya, ampunan serta rahmat. Dan adalah Allah Maha Pengampun lagi Maha Penyayang.
8;4;Itulah orang-orang yang beriman dengan sebenar-benarnya. Mereka akan memperoleh beberapa derajat ketinggian di sisi Tuhannya dan ampunan serta rezeki (nikmat) yang mulia.
17;21;Perhatikanlah bagaimana Kami lebihkan sebagian dari mereka atas sebagian (yang lain). Dan pasti kehidupan akhirat lebih tinggi tingkatnya dan lebih besar keutamaannya.
20;75;Dan barangsiapa datang kepada Tuhannya dalam keadaan beriman, lagi sungguh-sungguh telah beramal saleh, maka mereka itulah orang-orang yang memperoleh tempat-tempat yang tinggi (mulia),
55;62;Dan selain dari dua surga itu ada dua surga lagi
83;18;Sekali-kali tidak, sesungguhnya kitab orang-orang yang berbakti itu (tersimpan) dalam ´Illiyyin.
10;10;"Do´a mereka di dalamnya ialah: ""Subhanakallahumma"", dan salam penghormatan mereka ialah: ""Salam"". Dan penutup doa mereka ialah: ""Alhamdulilaahi Rabbil ´aalamin""."
37;50;Lalu sebahagian mereka menghadap kepada sebahagian yang lain sambil bercakap-cakap.
37;51;"Berkatalah salah seorang di antara mereka: ""Sesungguhnya aku dahulu (di dunia) mempunyai seorang teman,"
37;52;"yang berkata: ""Apakah kamu sungguh-sungguh termasuk orang-orang yang membenarkan (hari berbangkit)?"
37;53;"Apakah bila kita telah mati dan kita telah menjadi tanah dan tulang belulang, apakah sesungguhnya kita benar-benar (akan dibangkitkan) untuk diberi pembalasan?"""
37;54;"Berkata pulalah ia: ""Maukah kamu meninjau (temanku itu)?"""
37;56;"Ia berkata (pula): ""Demi Allah, sesungguhnya kamu benar-benar hampir mencelakakanku,"
37;57;jikalau tidaklah karena nikmat Tuhanku pastilah aku termasuk orang-orang yang diseret (ke neraka).
37;60;Sesungguhnya ini benar-benar kemenangan yang besar.
39;74;"Dan mereka mengucapkan: ""Segala puji bagi Allah yang telah memenuhi janji-Nya kepada kami dan telah (memberi) kepada kami tempat ini sedang kami (diperkenankan) menempati tempat dalam surga di mana saja yang kami kehendaki; maka surga itulah sebaik-baik balasan bagi orang-orang yang beramal""."
52;25;Dan sebahagian mereka menghadap kepada sebahagian yang lain saling tanya-menanya.
52;26;"Mereka berkata: ""Sesungguhnya kami dahulu, sewaktu berada di tengah-tengah keluarga kami merasa takut (akan diazab)""."
52;27;Maka Allah memberikan karunia kepada kami dan memelihara kami dari azab neraka.
52;28;Sesungguhnya kami dahulu menyembah-Nya. Sesungguhnya Dialah yang melimpahkan kebaikan lagi Maha Penyayang.
74;40;berada di dalam surga, mereka tanya menanya,
74;42;"""Apakah yang memasukkan kamu ke dalam Saqar (neraka)?"""
33;44;"Salam penghormatan kepada mereka (orang-orang mukmin itu) pada hari mereka menemui-Nya ialah: Salam; dan Dia menyediakan pahala yang mulia bagi mereka."
36;58;"(Kepada mereka dikatakan): ""Salam"", sebagai ucapan selamat dari Tuhan Yang Maha Penyayang."
7;46;"Dan di antara keduanya (penghuni surga dan neraka) ada batas; dan di atas A´raaf itu ada orang-orang yang mengenal masing-masing dari dua golongan itu dengan tanda-tanda mereka. Dan mereka menyeru penduduk surga: ""Salaamun ´alaikum"". Mereka belum lagi memasukinya, sedang mereka ingin segera (memasukinya)."
57;13;"Pada hari ketika orang-orang munafik laki-laki dan perempuan berkata kepada orang-orang yang beriman: ""Tunggulah kami supaya kami dapat mengambil sebahagian dari cahayamu"". Dikatakan (kepada mereka): ""Kembalilah kamu ke belakang dan carilah sendiri cahaya (untukmu)"". Lalu diadakan di antara mereka dinding yang mempunyai pintu. Di sebelah dalamnya ada rahmat dan di sebelah luarnya dari situ ada siksa."
7;47;"Dan apabila pandangan mereka dialihkan ke arah penghuni neraka, mereka berkata: ""Ya Tuhan kami, janganlah Engkau tempatkan kami bersama-sama orang-orang yang zalim itu""."
7;48;"Dan orang-orang yang di atas A´raaf memanggil beberapa orang (pemuka-pemuka orang kafir) yang mereka mengenalnya dengan tanda-tandanya dengan mengatakan: ""Harta yang kamu kumpulkan dan apa yang selalu kamu sombongkan itu, tidaklah memberi manfaat kepadamu""."
37;41;Mereka itu memperoleh rezeki yang tertentu,
52;19;"(Dikatakan kepada mereka): ""Makan dan minumlah dengan enak sebagai balasan dari apa yang telah kamu kerjakan"","
2;154;"Dan janganlah kamu mengatakan terhadap orang-orang yang gugur di jalan Allah, (bahwa mereka itu) mati; bahkan (sebenarnya) mereka itu hidup, tetapi kamu tidak menyadarinya."
4;114;Tidak ada kebaikan pada kebanyakan bisikan-bisikan mereka, kecuali bisikan-bisikan dari orang yang menyuruh (manusia) memberi sedekah, atau berbuat ma´ruf, atau mengadakan perdamaian di antara manusia. Dan barangsiapa yang berbuat demikian karena mencari keridhaan Allah, maka kelak Kami memberi kepadanya pahala yang besar.
5;65;Dan sekiranya Ahli Kitab beriman dan bertakwa, tentulah Kami tutup (hapus) kesalahan-kesalahan mereka dan tentulah Kami masukkan mereka kedalam surga-surga yang penuh kenikmatan.
6;155;Dan Al-Quran itu adalah kitab yang Kami turunkan yang diberkati, maka ikutilah dia dan bertakwalah agar kamu diberi rahmat.
9;111;"Sesungguhnya Allah telah membeli dari orang-orang mukmin diri dan harta mereka dengan memberikan surga untuk mereka. Mereka berperang pada jalan Allah; lalu mereka membunuh atau terbunuh. (Itu telah menjadi) janji yang benar dari Allah di dalam Taurat, Injil dan Al Quran. Dan siapakah yang lebih menepati janjinya (selain) daripada Allah? Maka bergembiralah dengan jual beli yang telah kamu lakukan itu, dan itulah kemenangan yang besar."
13;22;"Dan orang-orang yang sabar karena mencari keridhaan Tuhannya, mendirikan shalat, dan menafkahkan sebagian rezeki yang Kami berikan kepada mereka, secara sembunyi atau terang-terangan serta menolak kejahatan dengan kebaikan; orang-orang itulah yang mendapat tempat kesudahan (yang baik),"
17;9;Sesungguhnya Al Quran ini memberikan petunjuk kepada (jalan) yang lebih lurus dan memberi khabar gembira kepada orang-orang Mu´min yang mengerjakan amal saleh bahwa bagi mereka ada pahala yang besar,
19;60;kecuali orang yang bertaubat, beriman dan beramal saleh, maka mereka itu akan masuk surga dan tidak dianiaya (dirugikan) sedikitpun,
23;10;Mereka itulah orang-orang yang akan mewarisi,
24;38;(Meraka mengerjakan yang demikian itu) supaya Allah memberikan balasan kepada mereka (dengan balasan) yang lebih baik dari apa yang telah mereka kerjakan, dan supaya Allah menambah karunia-Nya kepada mereka. Dan Allah memberi rezeki kepada siapa yang dikehendaki-Nya tanpa batas.
26;90;dan (di hari itu) didekatkanlah surga kepada orang-orang yang bertakwa,
28;83;Negeri akhirat itu, Kami jadikan untuk orang-orang yang tidak ingin menyombongkan diri dan berbuat kerusakan di (muka) bumi. Dan kesudahan (yang baik) itu adalah bagi orang-orang yang bertakwa.
32;19;Adapun orang-orang yang beriman dan mengerjakan amal saleh, maka bagi mereka jannah tempat kediaman, sebagai pahala terhadap apa yang mereka kerjakan.
33;21;Sesungguhnya telah ada pada (diri) Rasulullah itu suri teladan yang baik bagimu (yaitu) bagi orang yang mengharap (rahmat) Allah dan (kedatangan) hari kiamat dan dia banyak menyebut Allah.
33;31;Dan barang siapa diantara kamu sekalian (isteri-isteri nabi) tetap taat kepada Allah dan Rasul-Nya dan mengerjakan amal yang saleh, niscata Kami memberikan kepadanya pahala dua kali lipat dan Kami sediakan baginya rezeki yang mulia.
33;35;Sesungguhnya laki-laki dan perempuan yang muslim, laki-laki dan perempuan yang mukmin, laki-laki dan perempuan yang tetap dalam ketaatannya, laki-laki dan perempuan yang benar, laki-laki dan perempuan yang sabar, laki-laki dan perempuan yang khusyu´, laki-laki dan perempuan yang bersedekah, laki-laki dan perempuan yang berpuasa, laki-laki dan perempuan yang memelihara kehormatannya, laki-laki dan perempuan yang banyak menyebut (nama) Allah, Allah telah menyediakan untuk mereka ampunan dan pahala yang besar.
35;7;Orang-orang yang kafir bagi mereka azab yang keras. Dan orang-orang yang beriman dan mengerjakan amal saleh bagi mereka ampunan dan pahala yang besar.
43;70;"Masuklah kamu ke dalam surga, kamu dan isteri-isteri kamu digembirakan""."
44;51;Sesungguhnya orang-orang yang bertakwa berada dalam tempat yang aman,
45;30;Adapun orang-orang yang beriman dan mengerjakan amal saleh maka Tuhan mereka memasukkan mereka ke dalam rahmat-Nya (surga). Itulah keberuntungan yang nyata.
46;16;Mereka itulah orang-orang yang Kami terima dari mereka amal yang baik yang telah mereka kerjakan dan Kami ampuni kesalahan-kesalahan mereka, bersama penghuni-penghuni surga, sebagai janji yang benar yang telah dijanjikan kepada mereka.
50;31;Dan didekatkanlah surga itu kepada orang-orang yang bertakwa pada tempat yang tiada jauh (dari mereka).
50;32;Inilah yang dijanjikan kepadamu, (yaitu) kepada setiap hamba yang selalu kembali (kepada Allah) lagi memelihara (semua peraturan-peraturan-Nya)
50;33;(Yaitu) orang yang takut kepada Tuhan Yang Maha Pemurah sedang Dia tidak kelihatan (olehnya) dan dia datang dengan hati yang bertaubat,
54;54;Sesungguhnya orang-orang yang bertakwa itu di dalam taman-taman dan sungai-sungai,
55;46;Dan bagi orang yang takut akan saat menghadap Tuhannya ada dua surga.
76;7;Mereka menunaikan nazar dan takut akan suatu hari yang azabnya merata di mana-mana.
76;8;Dan mereka memberikan makanan yang disukainya kepada orang miskin, anak yatim dan orang yang ditawan.
79;41;maka sesungguhnya surgalah tempat tinggal(nya).
90;18;Mereka (orang-orang yang beriman dan saling berpesan itu) adalah golongan kanan.
